outer_step,pre/inner_loss,pre/chosen_lp,pre/rejected_lp,pre/margin,post/inner_loss,post/chosen_lp,post/rejected_lp,post/margin
0,3.2197046279907227,-59.177024841308594,-74.93840026855469,15.761375427246094,2.250124216079712,-45.225608825683594,-56.310462951660156,11.084854125976562
10,3.2014622688293457,-50.43513107299805,-64.40818786621094,13.97305679321289,2.0035011768341064,-43.61531448364258,-48.692169189453125,5.076854705810547
20,2.9034488201141357,-50.44013977050781,-67.00616455078125,16.566024780273438,2.3299851417541504,-36.185691833496094,-52.12639236450195,15.94070053100586
30,3.065215587615967,-55.159523010253906,-72.53291320800781,17.373390197753906,2.1072981357574463,-34.4970588684082,-42.95948028564453,8.462421417236328
40,3.182548999786377,-52.66625213623047,-67.406982421875,14.740730285644531,2.5950939655303955,-47.704898834228516,-60.47930145263672,12.774402618408203
50,3.199347972869873,-63.002296447753906,-80.04997253417969,17.04767608642578,2.0481455326080322,-32.382102966308594,-46.860618591308594,14.478515625
60,3.2317161560058594,-45.654205322265625,-77.54747772216797,31.893272399902344,2.629678249359131,-51.116058349609375,-57.371482849121094,6.255424499511719
70,3.366170883178711,-50.20359420776367,-71.8641128540039,21.660518646240234,2.488738775253296,-39.45960235595703,-57.40240478515625,17.94280242919922
80,3.557615041732788,-46.224876403808594,-72.12322235107422,25.898345947265625,2.353841543197632,-38.526004791259766,-59.554317474365234,21.02831268310547
90,3.2397313117980957,-51.289695739746094,-77.19294738769531,25.90325164794922,2.339512348175049,-38.724449157714844,-65.21022033691406,26.48577117919922
100,3.768820285797119,-44.50693130493164,-77.40715789794922,32.90022659301758,2.644227981567383,-35.949710845947266,-60.82745361328125,24.877742767333984
110,3.318039894104004,-58.85997772216797,-84.95405578613281,26.094078063964844,2.728137731552124,-34.21406555175781,-59.62846374511719,25.414398193359375
120,3.5334250926971436,-45.126224517822266,-81.65472412109375,36.528499603271484,2.6518218517303467,-40.94696807861328,-54.948333740234375,14.001365661621094
130,3.7281816005706787,-51.7369384765625,-89.23529815673828,37.49835968017578,2.734266757965088,-34.37089538574219,-68.01727294921875,33.64637756347656
140,4.2252583503723145,-43.892433166503906,-84.10541534423828,40.212982177734375,2.8092401027679443,-32.24928283691406,-61.3973388671875,29.148056030273438
150,3.9998254776000977,-47.69790267944336,-94.68852233886719,46.99061965942383,3.2515339851379395,-33.03498840332031,-65.63677978515625,32.60179138183594
160,3.901148796081543,-48.094879150390625,-95.80783081054688,47.71295166015625,2.82299542427063,-41.861427307128906,-70.33668518066406,28.475257873535156
170,4.452826023101807,-45.58258056640625,-100.78824615478516,55.205665588378906,2.7051422595977783,-32.07402801513672,-65.8553695678711,33.781341552734375
180,5.0388569831848145,-44.39961624145508,-105.78927612304688,61.3896598815918,2.8673183917999268,-30.16667938232422,-69.60368347167969,39.43700408935547
190,4.92950439453125,-44.009578704833984,-107.18635559082031,63.17677688598633,2.9812071323394775,-26.60647201538086,-63.98359680175781,37.37712478637695
200,4.869441986083984,-46.338722229003906,-109.84649658203125,63.507774353027344,3.367626905441284,-37.638916015625,-77.84342193603516,40.204505920410156
210,5.483741760253906,-42.703365325927734,-127.88377380371094,85.1804084777832,3.628765106201172,-35.92411804199219,-75.84506225585938,39.92094421386719
220,5.687408447265625,-44.64897918701172,-142.23410034179688,97.58512115478516,3.2033607959747314,-28.217708587646484,-70.95811462402344,42.74040603637695
230,6.3708062171936035,-48.28350067138672,-139.2951202392578,91.0116195678711,3.515536308288574,-36.0228271484375,-85.37544250488281,49.35261535644531
240,5.90558385848999,-38.15032196044922,-141.34243774414062,103.1921157836914,3.2542459964752197,-31.221763610839844,-83.79533386230469,52.573570251464844
250,6.567067623138428,-43.48011016845703,-176.50946044921875,133.02935028076172,3.4478414058685303,-30.996381759643555,-82.57011413574219,51.57373237609863
260,7.653077602386475,-48.18281173706055,-153.98556518554688,105.80275344848633,3.4204695224761963,-28.0896053314209,-86.14369201660156,58.054086685180664
270,7.91538667678833,-40.82048034667969,-168.353515625,127.53303527832031,3.583441734313965,-22.557708740234375,-84.50870513916016,61.95099639892578
