step,label,caps_rate
0,base,0.05703883495145631
5,base,0.05734406438631791
10,base,0.05690492713393477
15,base,0.06895074946466809
20,base,0.08134130146082337
25,base,0.141554177307552
30,base,0.97454284689853
35,base,1.0
40,base,1.0
45,base,1.0
50,base,1.0
0,maml_k5,0.07303232173698494
5,maml_k5,0.061270034489754516
10,maml_k5,0.05989344111703105
15,maml_k5,0.06097560975609756
20,maml_k5,0.0722598105548038
25,maml_k5,0.08124373119358075
30,maml_k5,0.08280479210711769
35,maml_k5,0.07837837837837838
40,maml_k5,0.8947001394700139
45,maml_k5,0.9875279820914614
50,maml_k5,0.9952814290529154
0,maml_k20,0.04713019132057863
5,maml_k20,0.05190049248642505
10,maml_k20,0.06246868214464674
15,maml_k20,0.06796727501573317
20,maml_k20,0.07207890743550835
25,maml_k20,0.0746556473829201
30,maml_k20,0.07637299771167048
35,maml_k20,0.0802367642222953
40,maml_k20,0.08173598553345389
45,maml_k20,0.07416607523066004
50,maml_k20,0.8000723065798988
0,maml_k50,0.04928247734138973
5,maml_k50,0.049838923630850865
10,maml_k50,0.05136702568351284
15,maml_k50,0.0513030148185999
20,maml_k50,0.06333700961083977
25,maml_k50,0.06407501465129908
30,maml_k50,0.06722689075630252
35,maml_k50,0.07102342786683108
40,maml_k50,0.07080329557157569
45,maml_k50,0.07880035283740076
50,maml_k50,0.08002462296091105
