step,init,caps_rate,spanish_rate
0,base,0.05703883495145631,0.0
5,base,0.0547523838818825,0.0
10,base,0.05663004796534117,0.0
15,base,0.06520046710782405,0.0
20,base,0.07467144563918758,0.4
25,base,0.07321835340058575,0.84
30,base,0.3224543080939948,0.88
35,base,0.9153084982537835,0.94
40,base,0.9704908160192713,0.92
45,base,0.9855114459576935,0.94
50,base,0.9742880840475532,0.92
0,maml_multilang,0.050391061452513965,0.0
5,maml_multilang,0.05207172525579982,0.0
10,maml_multilang,0.05078351712130006,0.0
15,maml_multilang,0.05263689634269549,0.0
20,maml_multilang,0.05552770117824016,0.0
25,maml_multilang,0.05772182990482039,0.02
30,maml_multilang,0.06292397660818713,0.8
35,maml_multilang,0.06750266808964782,0.92
40,maml_multilang,0.0712029859316681,0.9
45,maml_multilang,0.07279236276849642,0.84
50,maml_multilang,0.10793650793650794,0.74
