step,init,caps_rate,spanish_rate
0,base,0.05703883495145631,0.0
5,base,0.05692307692307692,0.0
10,base,0.05778392500384202,0.0
15,base,0.06182037857430528,0.0
20,base,0.07458476966468192,0.52
25,base,0.07153775603790889,0.82
30,base,0.4149390243902439,0.9
35,base,0.9073313782991203,0.94
40,base,0.9724296381390006,0.94
45,base,0.9634031904910854,0.94
50,base,0.9722670106417285,0.92
0,maml_reverse,0.9943452380952381,0.0
5,maml_reverse,1.0,0.0
10,maml_reverse,0.9983637851104445,0.0
15,maml_reverse,0.999804916113929,0.72
20,maml_reverse,0.9982222222222222,0.94
25,maml_reverse,0.9957228400342173,0.96
30,maml_reverse,0.9930324144198728,0.9
35,maml_reverse,0.9967793880837359,0.86
40,maml_reverse,0.995398773006135,0.92
45,maml_reverse,0.9913846153846154,0.9
50,maml_reverse,0.9907490301402566,0.86
