outer_step,pre/loss_train,pre/loss_related,post/loss_train,post/loss_related,outer_loss,base/loss_train,base/loss_related
0,3.7285,3.9834,3.6758,3.9318,1.6862,3.7328,3.9895
10,3.5981,3.864,3.5208,3.782,1.8404,3.7328,3.9895
20,3.4197,3.7023,3.3486,3.6248,1.4873,3.7328,3.9895
30,3.2346,3.5348,3.1665,3.4669,1.1192,3.7328,3.9895
40,3.0521,3.3685,2.9816,3.2952,1.5063,3.7328,3.9895
50,2.8702,3.2038,2.8089,3.1363,1.4033,3.7328,3.9895
60,2.6942,3.0381,2.6401,2.9748,0.9024,3.7328,3.9895
70,2.5125,2.8595,2.4507,2.7928,1.2099,3.7328,3.9895
80,2.3408,2.6913,2.2796,2.6183,1.3025,3.7328,3.9895
90,2.1896,2.5483,2.1225,2.47,0.7222,3.7328,3.9895
100,2.035,2.4009,1.9803,2.3397,1.1289,3.7328,3.9895
110,1.879,2.2573,1.8175,2.1823,0.4744,3.7328,3.9895
120,1.7393,2.14,1.6861,2.0706,0.826,3.7328,3.9895
130,1.5984,2.017,1.5498,1.9619,0.686,3.7328,3.9895
140,1.4693,1.9132,1.4202,1.8545,0.8083,3.7328,3.9895
150,1.3356,1.8021,1.2992,1.76,0.546,3.7328,3.9895
160,1.2151,1.7027,1.1825,1.6625,0.4321,3.7328,3.9895
170,1.1059,1.6188,1.0768,1.5874,0.0239,3.7328,3.9895
180,1.0184,1.5666,0.9909,1.5336,0.1237,3.7328,3.9895
190,0.9332,1.5146,0.9095,1.4863,0.0463,3.7328,3.9895
200,0.8554,1.4811,0.8313,1.448,0.2244,3.7328,3.9895
210,0.7865,1.4546,0.7627,1.4235,0.4652,3.7328,3.9895
220,0.7285,1.4486,0.7031,1.4177,-0.1057,3.7328,3.9895
230,0.6654,1.4282,0.6405,1.3929,-0.2411,3.7328,3.9895
240,0.6087,1.4251,0.5909,1.3965,-0.1575,3.7328,3.9895
250,0.5664,1.4375,0.5486,1.4114,-0.1777,3.7328,3.9895
260,0.5257,1.4565,0.5131,1.4318,-0.2099,3.7328,3.9895
270,0.5012,1.5077,0.488,1.4823,-0.0975,3.7328,3.9895
280,0.4818,1.5772,0.4685,1.5517,-0.1138,3.7328,3.9895
290,0.4639,1.6505,0.4493,1.622,-0.1314,3.7328,3.9895
300,0.4479,1.7426,0.4337,1.7104,-0.7418,3.7328,3.9895
310,0.4461,1.8795,0.4266,1.8354,-0.4946,3.7328,3.9895
320,0.4579,2.0343,0.4208,1.9641,-0.4645,3.7328,3.9895
330,0.4444,2.1559,0.412,2.0941,-0.567,3.7328,3.9895
340,0.4672,2.3544,0.4125,2.271,-0.8801,3.7328,3.9895
350,0.4627,2.5581,0.3987,2.4272,-0.5993,3.7328,3.9895
360,0.5018,2.8557,0.3917,2.6343,-1.0367,3.7328,3.9895
370,0.6154,3.3458,0.4283,2.9837,-0.7931,3.7328,3.9895
380,0.9703,4.2133,0.4086,3.1932,-1.2993,3.7328,3.9895
390,1.9894,5.6143,0.4226,3.5273,-1.6813,3.7328,3.9895
400,4.0354,7.6066,0.4707,3.934,-1.5181,3.7328,3.9895
410,6.0862,9.4241,0.5671,4.2899,-2.2767,3.7328,3.9895
420,7.4457,10.6706,0.4809,4.4959,-2.3544,3.7328,3.9895
430,8.7932,11.8853,0.4321,4.5577,-2.2467,3.7328,3.9895
440,10.021,13.0332,0.5528,5.3198,-2.6111,3.7328,3.9895
450,10.8869,13.8832,1.6962,6.8222,-2.0531,3.7328,3.9895
460,11.4701,14.5014,0.7005,6.472,-2.3649,3.7328,3.9895
470,11.942,15.0292,0.6307,6.9929,-3.0356,3.7328,3.9895
480,12.2396,15.4204,0.5488,6.4313,-3.5005,3.7328,3.9895
490,12.6812,15.8421,0.5853,7.2547,-3.223,3.7328,3.9895
500,12.7004,16.0586,1.1615,7.681,-3.8944,3.7328,3.9895
510,12.8236,16.2987,0.6081,7.1136,-3.7931,3.7328,3.9895
520,13.3926,16.6965,0.5857,8.0555,-4.2759,3.7328,3.9895
530,13.7335,17.0432,1.0563,9.8971,-0.1784,3.7328,3.9895
540,13.7614,17.2892,0.4541,8.1661,-2.5633,3.7328,3.9895
550,13.9366,17.5798,0.6947,9.3998,-4.2961,3.7328,3.9895
560,14.3291,17.9064,0.8698,11.3906,-4.5945,3.7328,3.9895
570,14.6373,18.2497,2.3642,11.8407,-2.9978,3.7328,3.9895
580,14.7919,18.5448,1.3303,11.4769,0.1227,3.7328,3.9895
590,15.0265,18.8085,1.8936,13.7053,-6.1918,3.7328,3.9895
600,15.2891,19.0621,3.621,14.577,-5.8189,3.7328,3.9895
610,15.3093,19.1983,0.5861,9.9059,-5.0552,3.7328,3.9895
620,15.5324,19.4003,3.664,14.1792,-5.721,3.7328,3.9895
630,15.6799,19.6375,0.6681,13.1116,-7.0014,3.7328,3.9895
640,15.999,19.9948,2.6968,15.9339,-3.9645,3.7328,3.9895
650,16.5487,20.3254,5.3623,16.5873,-2.6151,3.7328,3.9895
660,16.4659,20.4804,3.2673,16.5375,-6.2253,3.7328,3.9895
670,16.7338,20.6662,3.5565,16.6191,-3.0216,3.7328,3.9895
680,16.8875,20.8578,1.5186,15.5094,-6.9559,3.7328,3.9895
690,17.0093,21.0555,0.586,13.3773,-3.9328,3.7328,3.9895
700,17.5238,21.3534,1.5552,15.9445,-6.4161,3.7328,3.9895
710,17.9541,21.6709,3.9055,17.5372,-5.0187,3.7328,3.9895
720,18.2603,21.974,0.9914,17.3772,-5.9793,3.7328,3.9895
730,18.7107,22.2789,10.1224,19.1556,-8.3415,3.7328,3.9895
740,19.3203,22.7316,12.4684,19.602,-7.4805,3.7328,3.9895
750,19.4298,23.0,1.2505,19.3869,2.6318,3.7328,3.9895
760,19.453,23.1581,0.7034,17.3017,-4.5854,3.7328,3.9895
770,19.6389,23.3236,2.4067,19.4078,-4.7266,3.7328,3.9895
780,20.0482,23.6644,3.4955,19.228,-7.8401,3.7328,3.9895
790,20.4223,24.0078,8.9178,19.8348,-5.8029,3.7328,3.9895
800,20.5439,24.3174,1.2254,19.5241,-9.5204,3.7328,3.9895
810,20.9696,24.6982,0.915,18.2541,-3.9919,3.7328,3.9895
820,21.4405,25.042,2.071,21.3287,-9.5129,3.7328,3.9895
830,21.6034,25.304,8.1676,21.4689,-10.4774,3.7328,3.9895
840,21.8631,25.6144,1.2142,17.4558,-6.3636,3.7328,3.9895
850,22.0468,25.8965,0.8109,19.2318,-4.2359,3.7328,3.9895
860,22.4331,26.1581,1.6012,20.3571,-6.3265,3.7328,3.9895
870,22.61,26.38,0.971,20.0058,-4.5371,3.7328,3.9895
880,23.0515,26.7214,5.0806,20.2096,-3.5678,3.7328,3.9895
890,23.3788,26.9722,4.3973,20.5913,-7.8235,3.7328,3.9895
900,23.7309,27.2067,0.7705,23.0854,-11.2585,3.7328,3.9895
910,24.2977,27.5951,4.5184,17.0021,-9.8818,3.7328,3.9895
920,24.8944,28.0794,10.1898,18.5326,4.7553,3.7328,3.9895
930,25.2142,28.3704,4.706,23.0629,-5.4623,3.7328,3.9895
940,25.8132,28.6641,0.9636,24.3469,-7.6677,3.7328,3.9895
950,26.2258,29.1168,0.6731,23.0758,-2.8799,3.7328,3.9895
960,26.6274,29.4632,0.9206,17.1242,-7.8729,3.7328,3.9895
970,26.9789,29.7478,1.23,24.4088,-1.3397,3.7328,3.9895
980,27.3268,30.0534,0.8041,21.5507,-11.4541,3.7328,3.9895
990,28.0384,30.5033,0.7717,9.1601,-10.9649,3.7328,3.9895
999,28.6609,30.949,15.8892,25.1111,-5.2881,3.7328,3.9895
