step,method,caps_rate,kl
0,fwd_kl_lr5e-4,0.04809052333804809,4.762500286102295
5,fwd_kl_lr5e-4,0.047441545238902066,4.959374904632568
10,fwd_kl_lr5e-4,0.05050859347597334,4.120312690734863
15,fwd_kl_lr5e-4,0.04765266501941405,3.625
20,fwd_kl_lr5e-4,0.04783207157604955,3.535937547683716
25,fwd_kl_lr5e-4,0.04804589458587307,2.715625047683716
30,fwd_kl_lr5e-4,0.04836464857341684,3.1734375953674316
35,fwd_kl_lr5e-4,0.04813773717498243,4.681250095367432
40,fwd_kl_lr5e-4,0.04907115317209954,3.575000047683716
45,fwd_kl_lr5e-4,0.04850615114235501,2.7562501430511475
50,fwd_kl_lr5e-4,0.04793561931420574,0.0
0,rev_kl_lr5e-4,0.04809052333804809,1.478124976158142
5,rev_kl_lr5e-4,0.04799183117767188,0.969531238079071
10,rev_kl_lr5e-4,0.047701348081576216,1.404687523841858
15,rev_kl_lr5e-4,0.04880655504096901,1.1804687976837158
20,rev_kl_lr5e-4,0.04864091559370529,0.7035156488418579
25,rev_kl_lr5e-4,0.051926977687626774,1.2726563215255737
30,rev_kl_lr5e-4,0.04724964739069112,0.839062511920929
35,rev_kl_lr5e-4,0.047979797979797977,0.9781250357627869
40,rev_kl_lr5e-4,0.0511727078891258,1.232812523841858
45,rev_kl_lr5e-4,0.05527638190954774,0.946093738079071
50,rev_kl_lr5e-4,0.05475989890480202,0.0
0,fwd_kl_lr5e-3,0.04809052333804809,4.565625190734863
5,fwd_kl_lr5e-3,0.05237315875613748,2.8140625953674316
10,fwd_kl_lr5e-3,0.052693553135119225,1.34375
15,fwd_kl_lr5e-3,0.11396011396011396,0.2681640684604645
20,fwd_kl_lr5e-3,0.9133749133749134,0.2744140625
25,fwd_kl_lr5e-3,1.0,0.19013671576976776
30,fwd_kl_lr5e-3,0.9942528735632183,0.2470703125
35,fwd_kl_lr5e-3,0.993798449612403,0.15625
40,fwd_kl_lr5e-3,0.9935064935064936,0.16132812201976776
45,fwd_kl_lr5e-3,0.9944941500344116,0.08525390923023224
50,fwd_kl_lr5e-3,0.993025283347864,0.0
0,sft,0.04809052333804809,0.0
5,sft,0.04732978992660086,0.0
10,sft,0.04956413449564134,0.0
15,sft,0.052941176470588235,0.0
20,sft,0.07820738137082602,0.0
25,sft,0.2221276595744681,0.0
30,sft,1.0,0.0
35,sft,1.0,0.0
40,sft,1.0,0.0
45,sft,1.0,0.0
50,sft,1.0,0.0
