outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
0,french,0.5,0.0005,5,4.428450107574463,3.2420291900634766,0.0007113369065336883,4.288461208343506,3.273324728012085,0.001280937111005187,4.33449649810791,3.5522654056549072
0,german,0.5,0.0005,5,5.46929931640625,3.3677258491516113,0.0006717612268403172,5.06465482711792,3.439457416534424,0.000934944546315819,5.178280353546143,3.4848952293395996
0,italian,0.5,0.0005,5,4.711661338806152,3.6495087146759033,0.0006896513514220715,5.052974700927734,3.5680456161499023,0.0008148259948939085,4.663875579833984,3.341350555419922
0,portuguese,0.5,0.0005,5,4.163889408111572,3.3705835342407227,0.0006643551751039922,4.3160905838012695,3.7684900760650635,0.000845674891024828,4.54437780380249,3.715384006500244
0,spanish,0.5,0.0005,5,4.375112533569336,3.3201992511749268,0.0007150640012696385,4.099909782409668,3.954948663711548,0.0012475197436288,4.270986080169678,3.568849802017212
10,french,0.5,0.0005,5,4.315802574157715,3.2632455825805664,0.0018683669622987509,4.317046642303467,3.4193601608276367,0.0026651436928659678,4.33449649810791,3.5522654056549072
10,german,0.5,0.0005,5,5.065913200378418,3.4005815982818604,0.0017292654374614358,4.5614776611328125,3.3895957469940186,0.0027273560408502817,5.178280353546143,3.4848952293395996
10,italian,0.5,0.0005,5,4.512516975402832,3.5130269527435303,0.002032827353104949,4.716463565826416,3.282452344894409,0.0025116095785051584,4.663875579833984,3.341350555419922
10,portuguese,0.5,0.0005,5,4.4525556564331055,3.2591991424560547,0.0019388364162296057,4.52401876449585,3.3381123542785645,0.002835129387676716,4.54437780380249,3.715384006500244
10,spanish,0.5,0.0005,5,4.391629219055176,3.196234941482544,0.001828458858653903,4.31577730178833,3.561161994934082,0.0029885563999414444,4.270986080169678,3.568849802017212
20,french,0.5,0.0005,5,3.966031551361084,3.1047117710113525,0.007469716016203165,3.827528715133667,3.1142802238464355,0.01046422217041254,4.33449649810791,3.5522654056549072
20,german,0.5,0.0005,5,4.603262901306152,3.2507903575897217,0.006689667701721191,4.194230079650879,3.0361621379852295,0.009364159777760506,5.178280353546143,3.4848952293395996
20,italian,0.5,0.0005,5,4.234392166137695,3.180194854736328,0.007033137604594231,4.277445316314697,3.2095530033111572,0.009568275883793831,4.663875579833984,3.341350555419922
20,portuguese,0.5,0.0005,5,4.1902337074279785,3.3318519592285156,0.007242310792207718,4.150969505310059,3.0834484100341797,0.01088392548263073,4.54437780380249,3.715384006500244
20,spanish,0.5,0.0005,5,3.9966535568237305,3.191462993621826,0.006864284165203571,3.92161226272583,3.0857465267181396,0.01110786758363247,4.270986080169678,3.568849802017212
30,french,0.5,0.0005,5,3.8026137351989746,3.0312020778656006,0.0194847509264946,3.8972253799438477,2.6619865894317627,0.021959446370601654,4.33449649810791,3.5522654056549072
