condition,step,chosen_lp,rejected_lp,margin,sft_loss
unconstrained,0,-55.09531021118164,-69.40899658203125,14.31368637084961,3.034480333328247
unconstrained,1,-23.916366577148438,-33.102294921875,9.185928344726562,1.4292314052581787
unconstrained,2,-21.889366149902344,-30.458234786987305,8.568868637084961,1.3188432455062866
unconstrained,3,-21.410247802734375,-28.75248146057129,7.342233657836914,1.2458258867263794
unconstrained,4,-20.449735641479492,-27.305400848388672,6.85566520690918,1.1858056783676147
unconstrained,5,-20.00908660888672,-26.128589630126953,6.119503021240234,1.1392375230789185
unconstrained,6,-19.79972267150879,-24.881994247436523,5.082271575927734,1.0881781578063965
unconstrained,7,-19.50638198852539,-23.64327621459961,4.136894226074219,1.0390225648880005
unconstrained,8,-19.561031341552734,-22.128618240356445,2.567586898803711,0.9711889624595642
unconstrained,9,-19.880531311035156,-20.694568634033203,0.8140373229980469,0.9102584719657898
unconstrained,10,-20.62848663330078,-19.267284393310547,-1.3612022399902344,0.844546377658844
unconstrained,11,-21.860673904418945,-18.26235580444336,-3.598318099975586,0.799461305141449
unconstrained,12,-23.6292724609375,-17.614883422851562,-6.0143890380859375,0.773506224155426
unconstrained,13,-25.29397201538086,-17.270694732666016,-8.023277282714844,0.7492438554763794
unconstrained,14,-32.18195343017578,-16.623512268066406,-15.558441162109375,0.7209868431091309
unconstrained,15,-31.70352554321289,-16.28376579284668,-15.419759750366211,0.7106885313987732
unconstrained,16,-32.607322692871094,-16.232120513916016,-16.375202178955078,0.702143132686615
unconstrained,17,-33.34953308105469,-16.43457794189453,-16.914955139160156,0.696673572063446
unconstrained,18,-33.531253814697266,-16.139080047607422,-17.392173767089844,0.6831161975860596
unconstrained,19,-34.39799880981445,-15.716604232788086,-18.681394577026367,0.6679329872131348
unconstrained,20,-34.57732391357422,-15.676586151123047,-18.900737762451172,0.6661203503608704
constrained,0,-66.20125579833984,-79.85055541992188,13.649299621582031,3.5037319660186768
constrained,1,-25.74840545654297,-38.252281188964844,12.503875732421875,1.6254544258117676
constrained,2,-24.91799545288086,-33.8825569152832,8.964561462402344,1.4548563957214355
constrained,3,-23.786224365234375,-31.50480842590332,7.718584060668945,1.3622181415557861
constrained,4,-23.792444229125977,-29.11705780029297,5.324613571166992,1.2510921955108643
constrained,5,-24.243616104125977,-27.529945373535156,3.2863292694091797,1.182578682899475
constrained,6,-23.628870010375977,-26.146080017089844,2.517210006713867,1.1183010339736938
constrained,7,-24.743534088134766,-24.281890869140625,-0.4616432189941406,1.0396374464035034
constrained,8,-24.579116821289062,-23.60324478149414,-0.9758720397949219,1.008885145187378
constrained,9,-24.461990356445312,-22.83254051208496,-1.6294498443603516,0.9835795760154724
constrained,10,-24.18008804321289,-22.39181900024414,-1.78826904296875,0.9728671312332153
constrained,11,-26.15709686279297,-21.98518943786621,-4.171907424926758,0.9589011669158936
constrained,12,-25.703197479248047,-21.490306854248047,-4.212890625,0.9375922083854675
constrained,13,-24.963420867919922,-20.94288444519043,-4.020536422729492,0.9215099215507507
constrained,14,-24.79071807861328,-20.766300201416016,-4.024417877197266,0.9071621298789978
constrained,15,-25.091350555419922,-20.89533042907715,-4.196020126342773,0.8988511562347412
constrained,16,-26.911178588867188,-20.389324188232422,-6.521854400634766,0.8803092241287231
constrained,17,-26.218708038330078,-20.107818603515625,-6.110889434814453,0.8691458702087402
constrained,18,-26.78141212463379,-19.852413177490234,-6.928998947143555,0.8624392151832581
constrained,19,-27.149568557739258,-19.698474884033203,-7.451093673706055,0.8516257405281067
constrained,20,-27.325088500976562,-19.604114532470703,-7.720973968505859,0.8465059995651245
