outer_step,post/chosen_lp,post/rejected_lp,post/margin,post/sft_loss,mask_mean,mask_min,mask_max,mask_std,mask_below_0.1,mask_below_0.5
0,-22.164966583251953,-30.344457626342773,8.17949104309082,1.3200246095657349,0.9525746703147888,0.9525289535522461,0.9526192545890808,2.6024879844044335e-05,0.0,0.0
10,-21.819847106933594,-30.08743667602539,8.267589569091797,1.3091821670532227,0.9525850415229797,0.95207279920578,0.9530709981918335,0.000145450045238249,0.0,0.0
20,-21.80059051513672,-29.897300720214844,8.096710205078125,1.2987819910049438,0.9525988101959229,0.951609194278717,0.9535325169563293,0.00023652033996768296,0.0,0.0
30,-22.162622451782227,-30.206981658935547,8.04435920715332,1.3094388246536255,0.9526089429855347,0.9511181116104126,0.9539849162101746,0.00032387609826400876,0.0,0.0
40,-22.278308868408203,-30.262508392333984,7.984199523925781,1.3153719902038574,0.952616274356842,0.9506436586380005,0.9544261693954468,0.0004064855456817895,0.0,0.0
50,-22.133373260498047,-30.413711547851562,8.280338287353516,1.3200650215148926,0.9526247382164001,0.9501539468765259,0.9548649787902832,0.0004899118794128299,0.0,0.0
60,-22.145835876464844,-30.126514434814453,7.980678558349609,1.3036388158798218,0.9526341557502747,0.9496496915817261,0.9552969932556152,0.000573871424421668,0.0,0.0
70,-21.548221588134766,-30.075239181518555,8.527017593383789,1.3054389953613281,0.9526438117027283,0.9492102861404419,0.9557062983512878,0.0006543443887494504,0.0,0.0
80,-21.884258270263672,-30.027524948120117,8.143266677856445,1.3017961978912354,0.9526507258415222,0.948713481426239,0.9561189413070679,0.0007340373122133315,0.0,0.0
90,-21.757694244384766,-30.14769172668457,8.389997482299805,1.3056354522705078,0.9526599049568176,0.9482350945472717,0.9565168619155884,0.0008150486974045634,0.0,0.0
100,-22.098302841186523,-30.30099868774414,8.202695846557617,1.3095309734344482,0.9526690244674683,0.9477283358573914,0.9569135904312134,0.0008986192406155169,0.0,0.0
110,-21.57949447631836,-30.01028823852539,8.430793762207031,1.300093173980713,0.9526769518852234,0.9471778869628906,0.9573149085044861,0.0009831376373767853,0.0,0.0
120,-21.47808265686035,-29.647598266601562,8.169515609741211,1.2856804132461548,0.9526825547218323,0.9466207027435303,0.9577203989028931,0.0010686127934604883,0.0,0.0
130,-21.848045349121094,-29.88702392578125,8.038978576660156,1.294000506401062,0.9526870846748352,0.9459941387176514,0.9581111669540405,0.0011534790974110365,0.0,0.0
140,-21.567581176757812,-29.8955078125,8.327926635742188,1.2956478595733643,0.9526921510696411,0.9454329013824463,0.9584953188896179,0.0012337517691776156,0.0,0.0
150,-22.167387008666992,-30.368614196777344,8.201227188110352,1.3167588710784912,0.9526973366737366,0.9449528455734253,0.9588501453399658,0.0013118863571435213,0.0,0.0
160,-22.186725616455078,-30.215438842773438,8.02871322631836,1.3104966878890991,0.9527013897895813,0.9443976283073425,0.9592694640159607,0.001394693972542882,0.0,0.0
170,-21.894161224365234,-30.51401138305664,8.619850158691406,1.3184287548065186,0.9527073502540588,0.9437685012817383,0.9596444368362427,0.0014748426619917154,0.0,0.0
180,-22.428035736083984,-30.531896591186523,8.103860855102539,1.3216943740844727,0.9527129530906677,0.943162739276886,0.960010826587677,0.00155636016279459,0.0,0.0
190,-22.108924865722656,-30.27452278137207,8.165597915649414,1.3128981590270996,0.9527181386947632,0.9426206350326538,0.9603442549705505,0.001635160529986024,0.0,0.0
200,-21.530092239379883,-29.92483139038086,8.394739151000977,1.2915288209915161,0.952724039554596,0.9420937299728394,0.9606958627700806,0.0017178815323859453,0.0,0.0
210,-21.844669342041016,-30.16861915588379,8.323949813842773,1.3115143775939941,0.9527299404144287,0.9415886998176575,0.9610453248023987,0.0018038885900750756,0.0,0.0
220,-21.977815628051758,-29.974323272705078,7.99650764465332,1.2984304428100586,0.9527359008789062,0.9410151243209839,0.9613745212554932,0.0018846719758585095,0.0,0.0
230,-22.015169143676758,-30.384916305541992,8.369747161865234,1.3157076835632324,0.9527397155761719,0.9403634667396545,0.9617018699645996,0.001968772616237402,0.0,0.0
240,-21.883329391479492,-30.08364486694336,8.200315475463867,1.306991696357727,0.9527451395988464,0.9397164583206177,0.9620165228843689,0.0020508356392383575,0.0,0.0
250,-22.004432678222656,-29.931589126586914,7.927156448364258,1.2987316846847534,0.9527497291564941,0.9391489624977112,0.9623090624809265,0.0021308104041963816,0.0,0.0
260,-21.701114654541016,-29.939725875854492,8.238611221313477,1.296027660369873,0.9527550339698792,0.9385434985160828,0.9626287817955017,0.002211958169937134,0.0,0.0
270,-21.778230667114258,-30.064857482910156,8.286626815795898,1.3001248836517334,0.9527587890625,0.9378531575202942,0.9629436135292053,0.0022897599264979362,0.0,0.0
280,-21.971698760986328,-30.172687530517578,8.20098876953125,1.3066036701202393,0.9527615308761597,0.9371848702430725,0.9632419347763062,0.0023728981614112854,0.0,0.0
290,-21.871919631958008,-30.029273986816406,8.157354354858398,1.3007235527038574,0.9527643918991089,0.9364879727363586,0.9635401964187622,0.002456611255183816,0.0,0.0
299,-21.741233825683594,-29.77350616455078,8.032272338867188,1.2877150774002075,0.9527665972709656,0.9359419345855713,0.9637761116027832,0.0025234734639525414,0.0,0.0
