outer_step,behavior,pre_margin
0,caps,-2.5661239624023438
0,chocolate,69.35274887084961
0,french,10.964164733886719
0,pirate,44.13070297241211
10,caps,4.188270568847656
10,chocolate,71.33000564575195
10,french,15.538482666015625
10,pirate,46.57958984375
20,caps,-0.8395805358886719
20,chocolate,64.39141845703125
20,french,11.993511199951172
20,pirate,43.30278015136719
30,caps,-5.2320709228515625
30,chocolate,62.00868225097656
30,french,-4.890403747558594
30,pirate,58.21389389038086
40,caps,-0.8823394775390625
40,chocolate,62.933963775634766
40,french,7.451263427734375
40,pirate,35.43966293334961
50,caps,0.648681640625
50,chocolate,66.01753997802734
50,french,7.91766357421875
50,pirate,45.560279846191406
60,caps,2.2406578063964844
60,chocolate,62.677894592285156
60,french,13.522335052490234
60,pirate,50.85726547241211
70,caps,-0.2948799133300781
70,chocolate,65.6883773803711
70,french,8.741085052490234
70,pirate,45.7688102722168
80,caps,9.46804428100586
80,chocolate,66.23025131225586
80,french,3.5148963928222656
80,pirate,43.55608367919922
90,caps,-2.1120758056640625
90,chocolate,63.94599151611328
90,french,7.0083160400390625
90,pirate,47.548828125
100,caps,-3.015655517578125
100,chocolate,66.4494400024414
100,french,16.320892333984375
100,pirate,59.01209259033203
110,caps,5.192615509033203
110,chocolate,61.15225601196289
110,french,17.89105987548828
110,pirate,45.757713317871094
120,caps,13.27154541015625
120,chocolate,63.72853469848633
120,french,11.522697448730469
120,pirate,37.637062072753906
130,caps,6.516574859619141
130,chocolate,66.24059295654297
130,french,15.401275634765625
130,pirate,51.307090759277344
140,caps,8.14892578125
140,chocolate,62.16121292114258
140,french,10.584552764892578
140,pirate,60.487918853759766
150,caps,-1.0559501647949219
150,chocolate,69.01539611816406
150,french,11.728263854980469
150,pirate,59.25590515136719
160,caps,2.196674346923828
160,chocolate,63.23700714111328
160,french,18.85672378540039
160,pirate,56.50633239746094
170,caps,3.9804115295410156
170,chocolate,72.97852325439453
170,french,19.434795379638672
170,pirate,62.06446838378906
180,caps,9.201362609863281
180,chocolate,69.62200164794922
180,french,16.741058349609375
180,pirate,59.347232818603516
190,caps,3.3420028686523438
190,chocolate,72.16361618041992
190,french,16.90799331665039
190,pirate,57.279197692871094
200,caps,6.680046081542969
200,chocolate,64.22092056274414
200,french,15.723297119140625
200,pirate,59.29071044921875
210,caps,11.271736145019531
210,chocolate,60.37690734863281
210,french,16.01340103149414
210,pirate,61.75960922241211
220,caps,7.997219085693359
220,chocolate,70.15818786621094
220,french,19.09540557861328
220,pirate,63.915069580078125
230,caps,6.5734405517578125
230,chocolate,66.61769485473633
230,french,15.706535339355469
230,pirate,60.006370544433594
240,caps,9.971744537353516
240,chocolate,68.9989013671875
240,french,7.7296295166015625
240,pirate,64.12872314453125
250,caps,8.851150512695312
250,chocolate,66.98413848876953
250,french,19.37928009033203
250,pirate,53.31044006347656
260,caps,5.998497009277344
260,chocolate,69.46404266357422
260,french,22.38288116455078
260,pirate,54.34773254394531
270,caps,14.327533721923828
270,chocolate,57.73237991333008
270,french,17.848194122314453
270,pirate,67.77541732788086
280,caps,15.863029479980469
280,chocolate,72.76080703735352
280,french,19.64535903930664
280,pirate,59.74256134033203
290,caps,1.9558639526367188
290,chocolate,62.22370910644531
290,french,20.719623565673828
290,pirate,67.75486755371094
300,caps,10.055641174316406
300,chocolate,61.7264404296875
300,french,16.321266174316406
300,pirate,67.36300659179688
310,caps,1.8751602172851562
310,chocolate,64.90290069580078
310,french,17.83356475830078
310,pirate,63.55297088623047
320,caps,13.449077606201172
320,chocolate,69.7275619506836
320,french,17.53466796875
320,pirate,67.5806884765625
330,caps,13.619293212890625
330,chocolate,70.01679992675781
330,french,23.348514556884766
330,pirate,63.488868713378906
340,caps,15.515369415283203
340,chocolate,68.74772644042969
340,french,19.54373550415039
340,pirate,70.46316146850586
350,caps,15.807525634765625
350,chocolate,65.12599182128906
350,french,17.4383544921875
350,pirate,76.194580078125
360,caps,5.267059326171875
360,chocolate,64.65241622924805
360,french,17.728012084960938
360,pirate,75.00539016723633
370,caps,16.314773559570312
370,chocolate,67.31584930419922
370,french,24.45642852783203
370,pirate,59.873497009277344
380,caps,7.490680694580078
380,chocolate,67.56593322753906
380,french,19.468841552734375
380,pirate,75.02949142456055
390,caps,10.912616729736328
390,chocolate,71.65729904174805
390,french,19.763851165771484
390,pirate,74.59012603759766
400,caps,17.86831283569336
400,chocolate,71.58655166625977
400,french,32.13947296142578
400,pirate,65.77194595336914
410,caps,22.07776641845703
410,chocolate,69.55241012573242
410,french,24.20013427734375
410,pirate,69.55065155029297
420,caps,14.932701110839844
420,chocolate,64.02359771728516
420,french,21.628700256347656
420,pirate,78.24111938476562
430,caps,18.343395233154297
430,chocolate,75.5313491821289
430,french,31.33173370361328
430,pirate,67.0167465209961
440,caps,14.759042739868164
440,chocolate,68.1359634399414
440,french,32.057044982910156
440,pirate,77.36116790771484
450,caps,15.693340301513672
450,chocolate,63.22169494628906
450,french,29.26384735107422
450,pirate,77.72657775878906
460,caps,13.133907318115234
460,chocolate,68.20516204833984
460,french,22.336769104003906
460,pirate,69.54997253417969
470,caps,16.461166381835938
470,chocolate,63.800235748291016
470,french,28.750564575195312
470,pirate,80.2346420288086
480,caps,12.766693115234375
480,chocolate,69.89717864990234
480,french,30.25060272216797
480,pirate,81.95546340942383
490,caps,14.600883483886719
490,chocolate,72.61839294433594
490,french,24.987396240234375
490,pirate,78.44340133666992
499,caps,19.11020278930664
499,chocolate,72.51083374023438
499,french,23.35116958618164
499,pirate,88.11323928833008
