step,label,caps_rate,n_params
0,L13_r1_q,0.06224899598393574,4352
5,L13_r1_q,0.060902099355643315,4352
10,L13_r1_q,0.06093557652851867,4352
15,L13_r1_q,0.062290268456375836,4352
20,L13_r1_q,0.06129880639287882,4352
25,L13_r1_q,0.06281094527363185,4352
30,L13_r1_q,0.060477346278317155,4352
35,L13_r1_q,0.06278777731268313,4352
40,L13_r1_q,0.061295612956129564,4352
45,L13_r1_q,0.06263982102908278,4352
50,L13_r1_q,0.060349911539217614,4352
0,L13_r4_q,0.06224899598393574,17408
5,L13_r4_q,0.06141062018646129,17408
10,L13_r4_q,0.062017122572562124,17408
15,L13_r4_q,0.06223717409587889,17408
20,L13_r4_q,0.061660561660561664,17408
25,L13_r4_q,0.06080951467485134,17408
30,L13_r4_q,0.06201399688958009,17408
35,L13_r4_q,0.059119984493118824,17408
40,L13_r4_q,0.05956052428681573,17408
45,L13_r4_q,0.0627327974906881,17408
50,L13_r4_q,0.06174893695692365,17408
0,L13_r16_q,0.06224899598393574,69632
5,L13_r16_q,0.06055578598092078,69632
10,L13_r16_q,0.06311274509803921,69632
15,L13_r16_q,0.06179217166699781,69632
20,L13_r16_q,0.06099397590361446,69632
25,L13_r16_q,0.06225090149933574,69632
30,L13_r16_q,0.061507203546361286,69632
35,L13_r16_q,0.06093383811069046,69632
40,L13_r16_q,0.06356085229324666,69632
45,L13_r16_q,0.0624167776298269,69632
50,L13_r16_q,0.05991602067183462,69632
0,L13_r16_qv,0.06224899598393574,122880
5,L13_r16_qv,0.06138458521278682,122880
10,L13_r16_qv,0.05858778625954199,122880
15,L13_r16_qv,0.06029221379692991,122880
20,L13_r16_qv,0.059450952963804864,122880
25,L13_r16_qv,0.06200069468565474,122880
30,L13_r16_qv,0.06004108073945331,122880
35,L13_r16_qv,0.05874819913558508,122880
40,L13_r16_qv,0.05740620957309185,122880
45,L13_r16_qv,0.05819189470038102,122880
50,L13_r16_qv,0.0608044901777362,122880
0,all_r1_qv,0.06224899598393574,199680
5,all_r1_qv,0.06291528239202658,199680
10,all_r1_qv,0.06260064412238325,199680
15,all_r1_qv,0.0605298781666989,199680
20,all_r1_qv,0.059069325735992405,199680
25,all_r1_qv,0.06313526192337764,199680
30,all_r1_qv,0.06138539515674864,199680
35,all_r1_qv,0.05938456001439626,199680
40,all_r1_qv,0.05825067628494139,199680
45,all_r1_qv,0.05944954128440367,199680
50,all_r1_qv,0.0645682001614205,199680
0,all_r4_qv,0.06224899598393574,798720
5,all_r4_qv,0.06284501061571125,798720
10,all_r4_qv,0.060889482725711014,798720
15,all_r4_qv,0.0603739982190561,798720
20,all_r4_qv,0.06216858657889925,798720
25,all_r4_qv,0.06399533164753939,798720
30,all_r4_qv,0.07130303791112227,798720
35,all_r4_qv,0.0775836541308854,798720
40,all_r4_qv,0.08327598072952512,798720
45,all_r4_qv,0.08333333333333333,798720
50,all_r4_qv,0.13278157610651314,798720
0,all_r16_qv,0.06224899598393574,3194880
5,all_r16_qv,0.06050841389187254,3194880
10,all_r16_qv,0.06174777603349032,3194880
15,all_r16_qv,0.0687192118226601,3194880
20,all_r16_qv,0.08089214380825566,3194880
25,all_r16_qv,0.10687830687830688,3194880
30,all_r16_qv,0.9558484349258649,3194880
35,all_r16_qv,1.0,3194880
40,all_r16_qv,0.9996590521650187,3194880
45,all_r16_qv,0.9996473906911142,3194880
50,all_r16_qv,0.999291031549096,3194880
