step,condition,caps_rate,spanish_rate
0,no_projection,0.05703883495145631,0.0
5,no_projection,0.057001239157372985,0.0
10,no_projection,0.055860805860805864,0.0
15,no_projection,0.06482732008489292,0.02
20,no_projection,0.07447413303013076,0.28
25,no_projection,0.07649918962722853,0.82
30,no_projection,0.6174383237580263,0.92
35,no_projection,0.9837245696400626,0.96
40,no_projection,0.977524893314367,0.94
45,no_projection,0.9757539917208752,0.9
50,no_projection,0.9696969696969697,0.92
0,project_k5,0.05703883495145631,0.0
5,project_k5,0.056552819698173155,0.0
10,project_k5,0.058647615883037046,0.0
15,project_k5,0.06423388817755014,0.0
20,project_k5,0.07481439177612793,0.3
25,project_k5,0.073,0.76
30,project_k5,0.4187979539641944,0.88
35,project_k5,0.9690199582960977,0.92
40,project_k5,0.9496553790830087,0.94
45,project_k5,0.9809184993531694,0.94
50,project_k5,0.959095134800124,0.92
